Date,Ticker,weighted positive sentiment score,weighted negative sentiment score,weighted neutral sentiment score,weighted compound sentiment score
2012-01-31,AMZN,0.12877165354330708,0.06728248587570622,0.8629369649805447,0.09822790003317482
2012-02-01,AMZN,0.071056338028169,0.13882545454545453,0.7916670878079595,-0.6449014938281311
2012-02-14,AMZN,0.051,0.0,0.949,0.296
2012-03-20,AMZN,0.168,0.055,0.777,0.7953
2012-03-29,AMZN,0.08,0.0,0.92,0.4118
2012-04-02,AMZN,0.109,0.0,0.891,0.4854
2012-04-04,AMZN,0.036,0.139,0.825,-0.7351000000000001
2012-04-10,AMZN,0.211,0.0,0.7890000000000001,0.8591
2012-04-26,AMZN,0.16425,0.07041666666666667,0.8084562706270627,0.6940221448284924
2012-04-27,AMZN,0.1661295681063123,0.12677570093457943,0.7420053908355795,0.22269999999999995
2012-05-02,AMZN,0.191,0.0,0.809,0.7844999999999999
2012-05-15,AMZN,0.129,0.0,0.871,0.6705
2012-05-29,AMZN,0.101,0.0,0.899,0.743
2012-06-13,AMZN,0.07046788990825688,0.049909090909090896,0.8966975446428572,0.011200000000000015
2012-07-25,AMZN,0.15664529914529915,0.03,0.8342406075139888,0.7904320747883562
2012-07-26,AMZN,0.16481619256017505,0.09863076923076923,0.7920860306643953,0.4302659125188537
2012-07-27,AMZN,0.1210082644628099,0.10946753246753248,0.8049937655860349,0.23010000000000005
2012-08-24,AMZN,0.216,0.0,0.7840000000000001,0.8442
2012-10-18,AMZN,0.111,0.137,0.752,-0.5267
2012-10-24,AMZN,0.159,0.096,0.745,0.2399
2012-10-25,AMZN,0.16183146067415732,0.043372093023255814,0.8280825242718447,0.5943912003372326
2012-10-26,AMZN,0.111,0.099,0.79,0.0217
2012-11-02,AMZN,0.226,0.076,0.697,0.7083
2012-11-07,AMZN,0.059,0.024,0.917,0.3352
2012-11-26,AMZN,0.2238,0.10187218045112782,0.7475495978552278,0.7536
2012-11-28,AMZN,0.172,0.117,0.7110000000000001,0.3567
2013-01-07,AMZN,0.227,0.058,0.715,0.6542
2013-01-25,AMZN,0.181,0.0,0.819,0.8982
2013-01-29,AMZN,0.18712209302325583,0.13429761904761905,0.7620860215053763,0.6903980456339656
2013-01-30,AMZN,0.157,0.0,0.843,0.8399
2013-02-13,AMZN,0.17787136929460579,0.07461538461538461,0.7975580226225387,0.6279793693473477
2013-02-14,AMZN,0.122,0.038,0.8399999999999999,0.7297
2013-03-12,AMZN,0.129,0.0,0.871,0.7076
2013-04-18,AMZN,0.114,0.113,0.7729999999999999,-0.2156
2013-04-25,AMZN,0.1160344827586207,0.06411304347826087,0.8275852478839177,0.4059678301770021
2013-04-26,AMZN,0.20000000000000004,0.073,0.7269999999999999,0.8816
2013-05-07,AMZN,0.15016908212560387,0.0,0.9018878973786949,0.39233155792276964
2013-05-28,AMZN,0.252,0.0,0.748,0.8779
2013-10-24,AMZN,0.031,0.059,0.91,-0.3104
2013-10-25,AMZN,0.131,0.039,0.83,0.583
2013-10-28,AMZN,0.064,0.0,0.936,0.1779
2013-11-06,AMZN,0.094,0.226,0.8707679952409281,-0.4767
2013-11-13,AMZN,0.059,0.0,0.941,0.1779
2013-11-14,AMZN,0.0,0.182,0.818,-0.7003
2013-12-13,AMZN,0.357,0.0,0.643,0.6124
2014-01-06,AMZN,0.099,0.0,0.901,0.296
2014-01-30,AMZN,0.273,0.0,0.7269999999999999,0.5035
2014-01-31,AMZN,0.113,0.09,0.796,0.128
2014-02-03,AMZN,0.0,0.122,0.878,-0.3612
2014-02-12,AMZN,0.087,0.044,0.869,0.25
2014-03-13,AMZN,0.134,0.0,0.866,0.34
2014-03-18,AMZN,0.286,0.0,0.714,0.4588
2014-04-02,AMZN,0.122,0.0,0.878,0.4404
2014-04-24,AMZN,0.21535172413793105,0.0,0.8669309941520468,0.7282282066334017
2014-05-06,AMZN,0.107,0.081,0.8119999999999999,0.128
2014-05-07,AMZN,0.0,0.247,0.753,-0.7096
2014-05-20,AMZN,0.139,0.123,0.738,0.0516
2014-06-05,AMZN,0.161,0.101,0.738,0.22629999999999997
2014-06-10,AMZN,0.07,0.103,0.826,-0.2023
2014-06-18,AMZN,0.091,0.0,0.909,0.1779
2014-07-08,AMZN,0.095,0.20000000000000004,0.705,-0.3632
2014-07-10,AMZN,0.111,0.0,0.889,0.3597
2014-07-24,AMZN,0.09991978609625668,0.08244099378881987,0.826174334140436,-0.03639999999999999
2014-07-25,AMZN,0.10499999999999998,0.161,0.734,-0.6466
2014-07-30,AMZN,0.066,0.063,0.871,-0.20760000000000003
2014-08-05,AMZN,0.125,0.0,0.875,0.4588
2014-09-10,AMZN,0.114,0.0,0.886,0.3565
2014-09-30,AMZN,0.087,0.0,0.9130000000000001,0.296
2014-10-23,AMZN,0.343,0.0,0.657,0.6983
2014-11-05,AMZN,0.0,0.0,1.0,0.0
2014-11-06,AMZN,0.317,0.0,0.683,0.6249
2014-11-14,AMZN,0.08,0.076,0.844,0.0516
2015-01-13,AMZN,0.061,0.0,0.939,0.1779
2015-01-21,AMZN,0.19,0.052,0.7579999999999999,0.5859
2015-01-22,AMZN,0.218,0.045,0.737,0.6986
2015-01-29,AMZN,0.16693393393393396,0.0,0.8335866826634674,0.3923450760485481
2015-01-30,AMZN,0.19,0.101,0.709,0.6963
2015-02-11,AMZN,0.10000000000000002,0.0,0.9,0.2732
2015-03-30,AMZN,0.167,0.036,0.797,0.6794
2015-04-23,AMZN,0.16829166666666667,0.113,0.7782258064516129,0.15669797687861273
2015-04-24,AMZN,0.162,0.0,0.838,0.8314
